,time,n_servers,buffer_size,load,strategy,users,arrival_rate,departure_rate,avg_users,avg_delay,queue_size,loss_prob,Sbusy_time,Sbusy_perc,Stot_assigned,Stot_assiPerc
0,5001.161228258748,1,500,0.2,random,4,0.19555458329834927,0.19475476905173025,2.232816587638816,11.433256362108564,4,0.0,951.4595042205613,19.024771663916752,9751,100.10266940451746
1,5002.030990050918,1,500,0.4,random,10,0.3996376679744743,0.3976384800406351,6.874373431735121,17.234465485548633,10,0.0,1946.1524419466973,38.90724479351709,19902,100.05027652086477
2,5000.259014137904,1,500,0.6,random,18,0.5969690753139204,0.5933692617944395,16.49572126641504,27.707652463241068,18,0.0,2897.083062844785,57.938659870488166,29673,100.0
3,5000.154946180264,1,500,0.8,random,85,0.8259744036842306,0.8089749304849184,61.92597684696088,75.42311327135407,85,0.0,4019.9022148381173,80.39555289999592,40464,100.0247218788628
4,5000.217807444724,1,500,1.0,random,189,1.0047562313225369,0.9669578778750928,140.95312219655702,141.62418192037504,189,0.0,4720.9497356267575,94.41488185970276,48365,100.02068252326784
5,5000.134370554442,1,500,1.5,random,500,1.4869600392710178,0.9945732717276088,449.67330117910933,425.7825671349452,500,26.388702084734373,4967.492767286301,99.34718547844759,49746,100.02010858636636
6,5000.718510966562,1,500,2.0,random,495,2.0189098782224,0.9780594507117429,474.20429569017904,459.6521516176068,495,46.652139461172744,4979.735314330754,99.58039636524649,48927,100.02044571662235
7,5000.630304832655,1,500,2.5,random,500,2.5270814336719685,0.9884753918367128,484.1270069213377,463.6943199048283,500,56.9280683706576,4992.496312521938,99.83734065877942,49448,100.02023062917256
8,5000.208552133972,1,500,3.0,random,499,3.0526726717199986,0.9935585582484902,487.935140287359,466.98196468319117,499,64.1837002096436,4990.757307593878,99.81098299317811,49699,100.02012882447666
9,5000.5683753474295,1,500,0.1,random,2,0.19557776768366866,0.19517781314852825,0.5061148294439678,2.5834960649259835,2,0.0,467.6928631490354,9.35279408346338,97710,100.10245901639344
10,5000.435098740851,1,500,0.2,random,4,0.3953655953854544,0.3945656649951955,2.809120264049124,7.114076993909378,4,0.0,948.2035630755673,18.962421156397617,197311,100.0
11,5000.069272064626,1,500,0.3,random,6,0.5885918454055294,0.5873918620305947,4.968817087571017,8.45025506321811,6,0.0,1428.828410040092,28.576172294711046,293712,100.0
12,5000.955545384314,1,500,0.4,random,14,0.799247256594607,0.7964477915977783,8.842243549327879,11.074134097065489,14,0.0,1933.41583659112,38.660928277508624,398413,100.02510670348984
13,5000.0655171738,1,500,0.5,random,20,1.0047868338412749,1.0007868862543274,15.397236584648773,15.336180185538726,20,0.0,2466.918776567649,49.33772903763933,500514,100.01998401278976
14,5000.402434779047,1,500,0.75,random,62,1.515278039883365,1.5028790378412944,50.84588860512779,33.659721802295564,62,0.0,3713.012307052525,74.25426964093123,751615,100.01330671989356
15,5000.170116737962,1,500,1.0,random,410,2.0097316222024504,1.9277344120220337,209.4166888422143,104.33013469307785,410,0.0,4777.1023744331815,95.53879693896675,964016,100.01037452017843
16,5000.09172337363,1,500,1.25,random,494,2.5097539593799727,2.0283627903443846,455.58125102389323,218.7885181874381,494,15.244242569129016,4946.668698347937,98.93155909968691,1014317,100.00985998816802
17,5000.335453974091,1,500,1.5,random,500,3.0161976409029427,1.998665907915662,473.9907677693549,231.28333381617352,500,30.42036865137249,4959.089597661575,99.17513821438247,999518,100.01000600360216
18,5007.570118154697,1,500,0.06666666666666668,random,1,0.195903397626612,0.1957036999735777,0.06513861903733069,0.3328430634991835,1,0.0,312.6149909895186,6.242848000393412,98119,100.10204081632654
19,5007.471190588474,1,500,0.13333333333333333,random,3,0.3952094629559775,0.3946103581611983,1.2089093162625602,3.0549438328684766,3,0.0,625.6374664827018,12.49408019877549,197720,100.0506072874494
20,5005.182727175863,1,500,0.2,random,5,0.5867917636759648,0.5857927991480861,3.283140925809906,5.589327179798811,5,0.0,941.2596303499012,18.805699644875922,293321,100.03410641200546
21,5000.192958095052,1,500,0.26666666666666666,random,7,0.7943693440009229,0.7929693980271044,4.6489298725171295,5.8530050957020965,7,0.0,1280.3287385911506,25.605586610779998,396622,100.02522068095837
22,5001.106727108726,1,500,0.3333333333333333,random,11,0.997779146154086,0.9955796330062512,8.921432311487507,8.943364052369082,11,0.0,1626.4592332109492,32.521986071495995,498023,100.02008435428803
23,5000.068669562901,1,500,0.5,random,22,1.4975794323749938,1.4931794928033792,17.47838031034376,11.684936914662693,22,0.0,2475.659751380052,49.512515027048025,746624,100.0
24,5000.173860540121,1,500,0.6666666666666666,random,46,2.023129651517211,2.0139299714094814,39.1699460691252,19.40226256019694,46,0.0,3314.219878002624,66.28209279196187,1007125,100.00993048659383
25,5000.005812643925,1,500,0.8333333333333334,random,121,2.5009970925188885,2.4767971206520523,97.40850174397688,39.11202103315233,121,0.0,4054.9158978840333,81.09822367866114,1238526,100.00807493540053
26,5000.045210741561,1,500,1.0,random,487,3.013772749019824,2.907173712904118,288.9716225029747,96.58271416054536,487,0.30526245935363994,4810.642053713023,96.2119711113482,1453727,100.00687947165657
